V12,CollegeGrad,Service,Race_Asian NH,Race_Black NH,Race_White NH
329.0,3683.0,20707.0,0,0,0
1527.0,27008.0,28137.0,0,0,1
177.0,4488.0,4002.0,0,0,0
647.0,13088.0,6067.0,1,0,0
1419.0,44486.0,88697.0,0,1,0
220.0,4461.0,6282.0,0,0,0
14975.0,241936.0,120150.0,0,0,1
0.0,754.0,709.0,0,0,0
22.0,1352.0,826.0,1,0,0
327.0,12292.0,25670.0,0,1,0
123.0,1243.0,1091.0,0,0,0
2120.0,47442.0,27477.0,0,0,1
0.0,673.0,904.0,0,0,0
61.0,1335.0,734.0,1,0,0
419.0,17536.0,31537.0,0,1,0
50.0,1086.0,1419.0,0,0,0
5059.0,80888.0,30427.0,0,0,1
402.0,9607.0,13492.0,0,0,0
1580.0,32085.0,13353.0,1,0,0
688.0,18848.0,32347.0,0,1,0
589.0,13478.0,31750.0,0,0,0
44344.0,505532.0,204406.0,0,0,1
94.0,1296.0,2449.0,0,0,0
315.0,1998.0,948.0,1,0,0
250.0,5939.0,19446.0,0,1,0
88.0,1479.0,3642.0,0,0,0
4827.0,105696.0,85165.0,0,0,1
77.0,1710.0,1976.0,0,0,0
72.0,3445.0,2114.0,1,0,0
501.0,23767.0,35867.0,0,1,0
146.0,3630.0,8031.0,0,0,0
10674.0,164341.0,72425.0,0,0,1
557.0,14271.0,12889.0,0,0,0
3774.0,95197.0,25747.0,1,0,0
3629.0,97064.0,164912.0,0,1,0
2574.0,44413.0,137531.0,0,0,0
73489.0,818269.0,309616.0,0,0,1
18.0,473.0,820.0,0,0,0
194.0,1246.0,422.0,1,0,0
371.0,5400.0,16381.0,0,1,0
96.0,2397.0,6960.0,0,0,0
2290.0,38003.0,37211.0,0,0,1
29.0,1637.0,2161.0,0,0,0
313.0,3517.0,1520.0,1,0,0
555.0,10678.0,29638.0,0,1,0
114.0,1343.0,1831.0,0,0,0
10353.0,153843.0,96770.0,0,0,1
104.0,2503.0,2840.0,0,0,0
497.0,5817.0,2745.0,1,0,0
718.0,18408.0,52759.0,0,1,0
113.0,2882.0,6766.0,0,0,0
13059.0,207531.0,136847.0,0,0,1
28.0,421.0,817.0,0,0,0
72.0,1477.0,879.0,1,0,0
294.0,13260.0,23760.0,0,1,0
54.0,1153.0,1405.0,0,0,0
2230.0,56035.0,22872.0,0,0,1
69.0,2579.0,2621.0,0,0,0
266.0,7766.0,3156.0,1,0,0
427.0,12553.0,24840.0,0,1,0
35.0,2167.0,4329.0,0,0,0
8689.0,175970.0,98194.0,0,0,1
305.0,7520.0,5165.0,0,0,0
1076.0,29441.0,9805.0,1,0,0
1222.0,44723.0,52869.0,0,1,0
1461.0,24885.0,88245.0,0,0,0
32410.0,357337.0,112472.0,0,0,1
69.0,3423.0,2669.0,0,0,0
249.0,7436.0,4732.0,1,0,0
524.0,13403.0,22166.0,0,1,0
408.0,9584.0,30969.0,0,0,0
10210.0,157605.0,77462.0,0,0,1
25.0,1100.0,1637.0,0,0,0
120.0,2230.0,1378.0,1,0,0
261.0,7692.0,16909.0,0,1,0
76.0,954.0,1220.0,0,0,0
3408.0,79008.0,67582.0,0,0,1
3.0,5178.0,5028.0,0,0,0
353.0,10895.0,5475.0,1,0,0
288.0,9976.0,11716.0,0,1,0
532.0,15190.0,46038.0,0,0,0
14288.0,267068.0,98261.0,0,0,1
482.0,6462.0,8950.0,0,0,0
1310.0,22022.0,6714.0,1,0,0
2476.0,51722.0,117563.0,0,1,0
465.0,6776.0,11857.0,0,0,0
28728.0,355156.0,241904.0,0,0,1
38.0,584.0,746.0,0,0,0
30.0,1226.0,715.0,1,0,0
48.0,1779.0,1412.0,0,1,0
925.0,22256.0,49638.0,0,0,0
991.0,18733.0,7682.0,0,0,1
88.0,4034.0,7287.0,0,0,0
248.0,6340.0,4514.0,1,0,0
586.0,18159.0,41951.0,0,1,0
1128.0,26651.0,28597.0,0,0,0
10378.0,132248.0,72558.0,0,0,1
25.0,361.0,945.0,0,0,0
10.0,700.0,547.0,1,0,0
66.0,816.0,4442.0,0,1,0
79.0,1373.0,4692.0,0,0,0
3365.0,42536.0,28743.0,0,0,1
55.0,1777.0,3535.0,0,0,0
